PROP_NUM,GAME_TITLE,MONTH,COIN_IN,HANDLE_PULLS,ASSET_COUNT
20,2498,4,521390,566430,360
10,947,9,389780,177630,150
16,1736,10,202350,60060,93
20,2249,10,615320,425260,186
10,3062,8,19260,6990,31
20,1138,8,124140,26600,93
22,3039,1,7010,1640,3
10,504,5,6500380,2634230,1023
16,184,7,87590,136940,31
10,3033,1,20220,3000,6
20,1798,2,141260,76090,56
8,463,9,204400,26060,60
21,2410,2,87280,138110,84
20,1645,5,82250,47570,93
20,278,12,149360,43050,220
22,1342,9,28150,20650,19
20,570,11,266790,420200,120
10,2739,8,110970,66920,72
20,3149,12,86000,76780,62
22,2170,12,40440,73100,62
1,1608,7,96030,60260,62
10,1524,9,40040,33520,30
21,3119,5,27440,27010,62
16,1107,5,179300,114890,62
8,650,4,44850,15640,30
10,1595,5,98830,90620,186
10,3140,7,42750,30700,31
20,1534,5,34430,46350,31
10,2979,10,505200,371550,186
10,410,4,19470,11850,60
10,2019,8,236870,156540,186
1,1218,2,70260,38650,28
21,2863,11,283380,446970,200
14,2993,2,-31100,30,56
16,237,2,16320,11870,28
21,396,11,179350,238090,60
10,2143,5,238680,188610,217
10,2119,5,87530,18820,31
1,936,7,47010,31090,62
8,361,11,46150,73540,30
10,2002,4,295380,243920,150
10,1679,7,254680,171480,217
14,1563,8,9160,19340,31
1,63,3,482690,288440,217
10,217,12,457710,248410,806
10,2233,1,47160,28960,15
20,2443,8,161990,94100,93
8,1111,10,18460,19150,31
16,1789,1,6320,2380,3
10,1475,12,124400,102480,124
8,491,2,183800,266380,56
8,2624,2,57700,66630,28
20,2671,4,535480,228370,226
10,884,10,35650,18930,31
10,1069,8,126350,94520,93
20,3150,3,102510,84700,62
1,329,8,165570,103180,93
20,2769,8,64560,64110,31
8,570,11,160970,450830,90
8,2552,5,375870,158360,124
14,2622,3,101930,133000,124
10,1092,4,405280,316930,296
8,168,11,48400,47650,30
10,290,5,376420,390450,372
10,610,6,33400,26630,60
10,1881,12,581180,86350,248
10,1635,3,75180,57320,31
10,693,6,288310,14010,150
8,2489,2,113770,115900,121
8,700,7,252390,185450,62
20,2821,9,74390,73810,134
10,3255,12,165040,157440,203
1,1825,6,18790,11990,30
21,129,3,43430,42580,31
8,2370,12,241120,259730,62
20,701,9,85350,77440,30
20,1935,5,126720,163330,124
8,463,3,290220,37580,62
1,373,9,72080,84410,60
22,909,2,96440,19840,84
8,736,2,512500,429170,140
8,1700,4,128940,214550,60
8,1273,11,218550,154500,90
21,2771,2,24210,28330,56
10,11,12,215800,138090,186
20,2794,9,104180,97860,60
10,1731,7,2995880,1018050,1550
1,1584,5,37800,52570,31
20,2976,4,53260,71570,30
10,2649,3,57230,43970,62
10,2071,11,51630,60280,30
20,1457,10,155180,22870,62
14,1980,8,9310,46580,62
1,2426,5,30280,16550,62
20,3212,12,51810,37590,31
1,1479,2,45830,38760,38
10,2654,9,46650,33860,30
8,2500,7,92100,128350,93
8,1276,11,246650,291710,330
10,2174,12,85770,49940,93
8,3008,8,24310,22670,31
10,34,2,19100,3160,9
8,297,3,-1010,650,12
8,1826,4,22490,27710,60
